GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RingBufferExample,at.jku.swtesting,RingBuffer.RingBufferIterator,42,0,4,0,7,0,6,0,4,0
RingBufferExample,at.jku.swtesting,RingBuffer,24,121,3,9,4,25,5,10,3,6
